BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
;;609;609018;;Svinninge - Hørve;Sng-Hve;16,2;19,38;;Privatbane;Fri Bane;;633;4
;;609;609019;;Hørve;Hve;19,38;20,14;19,7;Privatbane;Station;;634;STED
;;609;609022;;Hørve - Fårevejle;Hve-Fvj;20,14;23,51;;Privatbane;Fri Bane;;635;4
;;609;609023;;Fårevejle;Fvj;23,51;24,13;23,8;Privatbane;Station;;636;STED
;;609;609026;;Fårevejle - Asnæs;Fvj-Asn;24,13;26,66;;Privatbane;Fri Bane;;637;4
;;609;609027;;Asnæs;Asn;26,66;27,37;27;Privatbane;Station;;638;STED
;;609;609028;;Asnæs - Grevinge;Asn-Grv;27,37;30,18;;Privatbane;Fri Bane;;639;4
;;609;609031;;Grevinge;Grv;30,18;30,63;30,4;Privatbane;Station;;640;STED
;;609;609032;;Grevinge - Vig;Grv-Vig;30,63;36,56;;Privatbane;Fri Bane;;641;4
;;609;609037;;Vig;Vig;36,56;37,2;36,8;Privatbane;Station;;642;STED
;;609;609038;;Vig - Nørre Asmindrup;Vig-Nam;37,2;40,93;;Privatbane;Fri Bane;;643;4
;;609;609041;;Nørre Asmindrup;Nam;40,93;41,67;41,3;Privatbane;Station;;644;STED
;;609;609042;;Nørre Asmindrup - Højby Sjælland;Nam-Hbs;41,67;44,17;;Privatbane;Fri Bane;;645;4
;;609;609042;609043;Sommerland Sjælland;Slt;;;43;Privatbane;Trinbræt;;646;STED
;;609;609045;;Højby Sjælland;Hbs;44,17;44,93;44,5;Privatbane;Station;;647;STED
;;609;609046;;Højby Sjælland - Nykøbing Sjælland;Hbs-Nks;44,93;49,13;;Privatbane;Fri Bane;;648;4
;;609;609046;609047;Nyled;Ndt;;;48,1;Privatbane;Trinbræt;;649;STED
;;609;609049;;Nykøbing Sjælland;Nks;49,13;49,79;49,4;Privatbane;Station;;650;STED
;;615;615002;;Slagelse - Havrebjerg;Sg-Heb;0,945;5,68;;Privatbane;Fri Bane;;651;3
;;615;615007;;Havrebjerg;Heb;5,68;6,47;6,2;Privatbane;Station;Nedlagt station 2011;652;STED
;;615;615008;;Havrebjerg - Høng;Heb-Øn;6,47;12,276;;Privatbane;Fri Bane;;653;4
;;615;615013;;Høng;Øn;12,276;13,236;12,8;Privatbane;Station;;654;STED
;;615;615014;;Høng - Gørlev;Øn-Gv;13,236;17,919;;Privatbane;Fri Bane;Veteranbane;655;3
;;616;616002;;Høng - Ruds Vedby;Øn-Ruv;0,53;6,83;;Privatbane;Fri Bane;;656;3
;;616;616007;;Ruds Vedby;Ruv;6,83;7,5;7,2;Privatbane;Station;;657;STED
;;616;616008;;Ruds Vedby - Skellebjerg;Ruv-Skl;7,5;11,64;;Privatbane;Fri Bane;;658;4
;;616;616011;;Skellebjerg;Skl;11,64;12,29;11,978;Privatbane;Station;;659;STED
;;616;616014;;Skellebjerg - Dianalund;Skl-Dia;12,29;14,63;;Privatbane;Fri Bane;;660;4
;;616;616015;;Dianalund;Dia;14,63;15,51;15,2;Privatbane;Station;;661;STED
;;616;616016;;Dianalund - Stenlille;Dia-Stl;15,51;20,88;;Privatbane;Fri Bane;;662;4
;;616;616016;616019;Vedde;Ved;;;18,3;Privatbane;Trinbræt;;663;STED
;;616;616021;;Stenlille;Stl;20,88;21,8;21,2;Privatbane;Station;;664;STED
;;616;616022;;Stenlille - Store Merløse;Stl-Sms;21,8;28,57;;Privatbane;Fri Bane;;665;4
;;616;616022;616025;Nyrup;Nyp;;;25,2;Privatbane;Trinbræt;;666;STED
;;616;616022;616027;Bagmarken;Bmt;;;27,2;Privatbane;Trinbræt;;667;STED
;;616;616029;;Store Merløse;Sms;28,57;29,32;28,9;Privatbane;Station;;668;STED
;;616;616030;;Store Merløse - Kirke Eskilstrup;Sms-Kek;29,32;33,28;;Privatbane;Fri Bane;;669;4
;;616;616033;;Kirke Eskilstrup;Kek;33,28;34,06;33,8;Privatbane;Station;;670;STED
;;616;616036;;Kirke Eskilstrup - Tølløse;Kek-Tø;34,06;37,659;;Privatbane;Fri Bane;;671;4
;;618;618002;;Køge - Egøje;Kj-Egø;0,524;2,75;;Privatbane;Fri Bane;;672;3
;;618;618003;;Egøje;Egø;2,75;3,62;3,2;Privatbane;Station;;673;STED
;;618;618004;;Egeøje - Vallø;Egø-Vlø;3,62;5,56;;Privatbane;Fri Bane;;674;4
;;618;618005;;Vallø;Vlø;5,56;6,39;5,9;Privatbane;Station;;675;STED
;;618;618008;;Vallø - Grubberholm;Vlø-Grh;6,39;7,97;;Privatbane;Fri Bane;;676;4
;;618;618009;;Grubberholm;Grh;7,97;8,73;8,2;Privatbane;Station;;677;STED
;;618;618010;;Grubberholm - Hårlev;Grh-Hrl;8,73;11,64;;Privatbane;Fri Bane;;678;4
;;618;618010;618011;Himlingøje;Hmø;;;10,2;Privatbane;Trinbræt;;679;STED
;;618;618013;;Hårlev;Hrl;11,64;12,63;12,1;Privatbane;Station;;680;STED
;;618;618014;;Hårlev - Karise;Hrl-Kri;12,63;17,25;;Privatbane;Fri Bane;;681;4
;;618;618014;618015;Lille Linde;Lli;;;13,8;Privatbane;Trinbræt;;682;STED
;;618;618017;;Karise;Kri;17,25;18,02;17,5;Privatbane;Station;;683;STED
;;618;618018;;Karise - Faxe Syd;Kri-Fxs;18,02;26,2;;Privatbane;Fri Bane;;684;4
;;618;618018;618021;Tokkerup;Tok;;;21,9;Privatbane;Trinbræt;;685;STED
;;618;618027;;Faxe Syd;Fxs;26,2;27,06;26,6;Privatbane;Station;;686;STED
;;618;618028;;Faxe Syd - Faxe Ladeplads;Fxs-Fxl;27,06;29,61;;Privatbane;Fri Bane;;687;4
;;618;618030;;Faxe Ladeplads;Fxl;29,61;30,01;29,8;Privatbane;Station;;688;STED
;;619;619002;;Hårlev  -  Klippinge;Hrl-Klp;0,2;6,07;;Privatbane;Fri Bane;;689;4
;;619;619002;619003;Varpelev;Vap;;;3,5;Privatbane;Trinbræt;;690;STED
;;619;619007;;Klippinge;Klp;6,07;6,84;6,5;Privatbane;Station;;691;STED
;;619;619008;;Klippinge - Store Heddinge;Klp-Sth;6,84;11,82;;Privatbane;Fri Bane;;692;4
;;619;619011;;Store Heddinge;Sth;11,82;12,51;12,2;Privatbane;Station;;693;STED
;;619;619014;;Store Heddinge - Rødvig;Sth-Rdg;12,51;17,92;;Privatbane;Fri Bane;;694;4
;;619;619017;;Rødvig;Rdg;17,92;18,65;18,5;Privatbane;Station;;695;STED
;;632;632002;;Nykøbing Falster Vest - Grænge;Nfv-Grg;1,8;7,17;;Privatbane;Fri Bane;;696;4
;;632;632002;632003;Østeroreby;Øto;;;3,1;Privatbane;Trinbræt;;697;STED
;;632;632007;;Grænge;Grg;7,17;8,31;7,6;Privatbane;Station;;698;STED
;;632;632010;;Grænge - Sakskøbing;Grg-Sx;8,31;15,51;;Privatbane;Fri Bane;;699;4
;;632;632017;;Sakskøbing;Sx;15,51;17,26;16,4;Privatbane;Station;;700;STED
;;632;632018;;Sakskøbing - Maribo;Sx-Mrb;17,26;24,71;;Privatbane;Fri Bane;;701;3
;;632;632025;;Maribo;Mrb;24,71;25,8;25,4;Privatbane;Station;;702;STED
;;632;632026;;Maribo - Ryde;Mrb-Ryd;25,8;33,28;;Privatbane;Fri Bane;;703;4
;;632;632033;;Ryde;Ryd;33,28;34,37;33,9;Privatbane;Station;;704;STED
;;632;632036;;Ryde - Søllested;Ryd-Søl;34,37;40,59;;Privatbane;Fri Bane;;705;4
;;632;632041;;Søllested;Søl;40,59;41,56;41;Privatbane;Station;;706;STED
;;632;632042;;Søllested - Nakskov;Søl-Nsk;41,56;49,3;;Privatbane;Fri Bane;;707;4
;;632;632042;632045;Avnede;Avd;;;45,1;Privatbane;Trinbræt;;708;STED
;;632;632049;;Nakskov;Nsk;49,3;50,55;50,2;Privatbane;Station;;709;STED
;;634;634000;;Maribo - Bandholm;Mrb-Bdh;0;7,4;;Privatbane;Fri Bane;Veteranbane;710;4
